ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Consumer
2025-06-01,4055.5017872901008,2569.0199911681225,4234.992301285721,4055.5017872901008,4055.5017872901008,-632.3063114375693,-632.3063114375693,-632.3063114375693,120.61567748776262,120.61567748776262,120.61567748776262,-752.9219889253319,-752.9219889253319,-752.9219889253319,0.0,0.0,0.0,3423.1954758525317,Consumer 1
2025-06-02,4059.292838397511,2953.8017088050647,4546.018413964057,4059.292838397511,4059.292838397511,-304.00570490600194,-304.00570490600194,-304.00570490600194,112.1717847775233,112.1717847775233,112.1717847775233,-416.1774896835252,-416.1774896835252,-416.1774896835252,0.0,0.0,0.0,3755.287133491509,Consumer 1
2025-06-03,4063.083889504921,3151.445101171328,4894.256146335647,4063.083889504921,4063.083889504921,-73.96502866305573,-73.96502866305573,-73.96502866305573,46.49377000166216,46.49377000166216,46.49377000166216,-120.4587986647179,-120.4587986647179,-120.4587986647179,0.0,0.0,0.0,3989.118860841865,Consumer 1
2025-06-04,4066.874940612331,3263.260719358825,4983.2955763430655,4066.874940612331,4066.874940612331,33.085886132350396,33.085886132350396,33.085886132350396,-98.23493214731245,-98.23493214731245,-98.23493214731245,131.32081827966286,131.32081827966286,131.32081827966286,0.0,0.0,0.0,4099.960826744681,Consumer 1
2025-06-05,4070.6659917197417,3714.5608858037012,5377.38747823144,4070.6659917197417,4070.6659917197417,469.8649803573943,469.8649803573943,469.8649803573943,132.24839782589632,132.24839782589632,132.24839782589632,337.61658253149795,337.61658253149795,337.61658253149795,0.0,0.0,0.0,4540.530972077136,Consumer 1
2025-06-06,4074.457043286427,3527.8846263092923,5225.395667124705,4074.457043286427,4074.457043286427,329.0905818586153,329.0905818586153,329.0905818586153,-169.12793007090522,-169.12793007090522,-169.12793007090522,498.21851192952056,498.21851192952056,498.21851192952056,0.0,0.0,0.0,4403.547625145043,Consumer 1
2025-06-07,4078.248094853113,3685.214449784898,5379.426076047119,4078.248094853113,4078.248094853113,470.0137220308082,470.0137220308082,470.0137220308082,-144.1667678747872,-144.1667678747872,-144.1667678747872,614.1804899055954,614.1804899055954,614.1804899055954,0.0,0.0,0.0,4548.261816883921,Consumer 1
2025-06-08,4082.0391464197983,4110.370451980769,5765.100960064356,4082.0391464197983,4082.0391464197983,808.3311547599843,808.3311547599843,808.3311547599843,120.61567748808176,120.61567748808176,120.61567748808176,687.7154772719025,687.7154772719025,687.7154772719025,0.0,0.0,0.0,4890.3703011797825,Consumer 1
2025-06-09,4085.8301979864837,4049.7314827686873,5777.3604045308175,4085.8301979864837,4085.8301979864837,834.2329480926167,834.2329480926167,834.2329480926167,112.17178477778418,112.17178477778418,112.17178477778418,722.0611633148325,722.0611633148325,722.0611633148325,0.0,0.0,0.0,4920.0631460791,Consumer 1
2025-06-10,4089.6212493625235,4030.424980770249,5770.184986561355,4089.6212493625235,4089.6212493625235,767.8148867991039,767.8148867991039,767.8148867991039,46.49377000135899,46.49377000135899,46.49377000135899,721.3211167977448,721.3211167977448,721.3211167977448,0.0,0.0,0.0,4857.4361361616275,Consumer 1
2025-06-11,4093.4123007385633,3818.5783586622674,5520.64686425563,4093.4123007385633,4093.4123007385633,592.0521592550398,592.0521592550398,592.0521592550398,-98.234932147217,-98.234932147217,-98.234932147217,690.2870914022568,690.2870914022568,690.2870914022568,0.0,0.0,0.0,4685.464459993603,Consumer 1
2025-06-12,4097.203352114603,4047.371119783092,5644.628726085525,4097.203352114603,4097.203352114603,766.4969472802763,766.4969472802763,766.4969472802763,132.24839782605727,132.24839782605727,132.24839782605727,634.2485494542192,634.2485494542192,634.2485494542192,0.0,0.0,0.0,4863.700299394879,Consumer 1
2025-06-13,4100.994403490643,3618.3749554613723,5361.422995430819,4100.994403490643,4100.994403490643,389.6677535065142,389.6677535065142,389.6677535065142,-169.12793007094993,-169.12793007094993,-169.12793007094993,558.7956835774642,558.7956835774642,558.7956835774642,0.0,0.0,0.0,4490.662156997158,Consumer 1
2025-06-14,4104.785456327878,3588.5877943911373,5301.57404159682,4104.785456327878,4104.785456327878,325.455467602335,325.455467602335,325.455467602335,-144.1667678753901,-144.1667678753901,-144.1667678753901,469.6222354777251,469.6222354777251,469.6222354777251,0.0,0.0,0.0,4430.240923930213,Consumer 1
2025-06-15,4108.576509165113,3744.8422526341205,5403.404280778028,4108.576509165113,4108.576509165113,492.9499150391966,492.9499150391966,492.9499150391966,120.61567748737838,120.61567748737838,120.61567748737838,372.33423755181815,372.33423755181815,372.33423755181815,0.0,0.0,0.0,4601.5264242043095,Consumer 1
2025-06-16,4112.367562002348,3662.5163182748197,5313.078475838489,4112.367562002348,4112.367562002348,384.44223018811545,384.44223018811545,384.44223018811545,112.17178477766578,112.17178477766578,112.17178477766578,272.27044541044967,272.27044541044967,272.27044541044967,0.0,0.0,0.0,4496.809792190463,Consumer 1
2025-06-17,4116.158614573924,3475.69572756388,5202.244057425467,4116.158614573924,4116.158614573924,220.833472376318,220.833472376318,220.833472376318,46.493770001055815,46.493770001055815,46.493770001055815,174.33970237526216,174.33970237526216,174.33970237526216,0.0,0.0,0.0,4336.992086950242,Consumer 1
2025-06-18,4119.949667145499,3294.129469163095,4981.998047618904,4119.949667145499,4119.949667145499,-15.355132412693628,-15.355132412693628,-15.355132412693628,-98.23493214712364,-98.23493214712364,-98.23493214712364,82.87979973443001,82.87979973443001,82.87979973443001,0.0,0.0,0.0,4104.594534732805,Consumer 1
2025-06-19,4123.740719717075,3378.2244033640886,5166.155135519214,4123.740719717075,4123.740719717075,133.7899909041416,133.7899909041416,133.7899909041416,132.2483978259552,132.2483978259552,132.2483978259552,1.5415930781863998,1.5415930781863998,1.5415930781863998,0.0,0.0,0.0,4257.530710621217,Consumer 1
2025-06-20,4127.531772288651,3020.8631111196783,4758.069337279025,4127.531772288651,4127.531772288651,-235.9266976648643,-235.9266976648643,-235.9266976648643,-169.12793007062888,-169.12793007062888,-169.12793007062888,-66.79876759423541,-66.79876759423541,-66.79876759423541,0.0,0.0,0.0,3891.605074623787,Consumer 1
2025-06-21,4131.32282488581,3023.8925710462695,4721.978973137391,4131.32282488581,4131.32282488581,-264.2643759242157,-264.2643759242157,-264.2643759242157,-144.1667678748184,-144.1667678748184,-144.1667678748184,-120.09760804939731,-120.09760804939731,-120.09760804939731,0.0,0.0,0.0,3867.058448961595,Consumer 1
2025-06-22,4135.11387748297,3256.700342647153,4879.507971998988,4135.11387748297,4135.11387748297,-36.55494627222318,-36.55494627222318,-36.55494627222318,120.61567748769752,120.61567748769752,120.61567748769752,-157.17062375992072,-157.17062375992072,-157.17062375992072,0.0,0.0,0.0,4098.558931210747,Consumer 1
2025-06-23,4138.904930080129,3231.3512908533967,4890.105989075622,4138.904930080129,4138.904930080129,-65.51725104996474,-65.51725104996474,-65.51725104996474,112.1717847779267,112.1717847779267,112.1717847779267,-177.68903582789144,-177.68903582789144,-177.68903582789144,0.0,0.0,0.0,4073.3876790301642,Consumer 1
